fda_drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
sulfamethoxazole with trimethoprim,sulfamethoxazole with trimethoprim,sulfamethoxazole with trimethoprim,,,
sulfamethoxazoletrimethoprim,sulfamethoxazoletrimethoprim,sulfamethoxazoletrimethoprim,,,
sulfamethoxazoletrimethoprim suspension,sulfamethoxazoletrimethoprim,sulfamethoxazoletrimethoprim,,,
sulfamethoxazole trimethoprim,sulfamethoxazole trimethoprim,sulfamethoxazole trimethoprim,,,
sulperazon,sulperazon,sulperazon,,,
sulphamethoxazole trimethoprim,sulphamethoxazole trimethoprim,sulphamethoxazole trimethoprim,,,
sultanol,sultanol,sultanol,,,
sutene,sutene,sutene,,,
synacten,synacten,synacten,,,
tak 924 pevonedistat,tak 924 pevonedistat,tak 924 pevonedistat,,,
takecab,takecab,takecab,,,
takecab tablets 20mg,takecab 20mg,takecab 20mg,,,
takelda combination tablets,takelda combination,takelda combination,,,
takelda combination tablets,takelda combination,takelda combination,,,
takepron capsules 15,takepron 15,takepron 15,,,
takepron capsules 30,takepron 30,takepron 30,,,
takepron od tablets 15,takepron od 15,takepron od 15,,,
takepron od tablets 30,takepron od 30,takepron od 30,,,
talgesil,talgesil,talgesil,,,
talion,talion,talion,,,
talion bepotastine besilate,talion bepotastine besilate,talion bepotastine besilate,,,
talion od,talion od,talion od,,,
talion bepotastine besilate,talion bepotastine besilate,talion bepotastine besilate,,,
taloxa,taloxa,taloxa,,,
tamibarotene,tamibarotene,tamibarotene,,,
tandospirone,tandospirone,tandospirone,,,
tanreqing herbals,tanreqing herbals,tanreqing herbals,,,
tareg,tareg,tareg,,,
targeted botulinum toxin,targeted botulinum toxin,targeted botulinum toxin,,,
targosid,targosid,targosid,,,
tarivid 00731801,tarivid 00731801,tarivid 00731801,,,
tarocarbamazepine oral suspension 100 mg5 ml,tarocarbamazepine oral 100 mg5 ml,tarocarbamazepine oral 100 mg5 ml,,,
tartriakson,tartriakson,tartriakson,,,
tas 102,tas 102,tas 102,,,
tas 102,tas 102,tas 102,,,
tasectan,tasectan,tasectan,,,
tasmolin,tasmolin,tasmolin,,,
tavor simvastatin,tavor simvastatin,tavor simvastatin,,,
tazidif,tazidif,tazidif,,,
tazopipe,tazopipe,tazopipe,,,
tb testleft forearm,tb testleft forearm,tb testleft forearm,,,
tc99m mertiatide,tc99m mertiatide,tc99m mertiatide,,,
technescan hdp,technescan hdp,technescan hdp,,,
teething gel,teething gel,teething gel,,,
tegaderm,tegaderm,tegaderm,,,
tegeline,tegeline,tegeline,,,
temozolamide teva,temozolamide teva,temozolamide teva,,,
tenelia,tenelia,tenelia,,,
teneligliptin,teneligliptin,teneligliptin,,,
tenodal,tenodal,tenodal,,,
teplizumabmzwv,teplizumabmzwv,teplizumabmzwv,,,
terbinafin 1 a pharma 125 mg tabletten,terbinafin 1 a pharma 125 mg tabletten,terbinafin 1 a pharma 125 mg tabletten,,,
ternelin,ternelin,ternelin,,,
tetrabik,tetrabik,tetrabik,,,
tetrahydrocannabinol,tetrahydrocannabinol,tetrahydrocannabinol,,,
tetrahydropyranyladriamycin,tetrahydropyranyladriamycin,tetrahydropyranyladriamycin,,,
tetramide,tetramide,tetramide,,,
teva rosuvastatin,teva rosuvastatin,teva rosuvastatin,,,
teva uk risperidone,teva uk risperidone,teva uk risperidone,,,
teva venlafaxine er,teva venlafaxine,teva venlafaxine,,,
tevaetoposide,tevaetoposide,tevaetoposide,,,
teva docusate sodium,teva docusate sodium,teva docusate,,,
teva duloxetine dr,teva duloxetine,teva duloxetine,,,
theostat,theostat,theostat,,,
therapeutic radiopharmaceuticals,therapeutic radiopharmaceuticals,therapeutic radiopharmaceuticals,,,
therarubicin,therarubicin,therarubicin,,,
thioinosine,thioinosine,thioinosine,,,
thiopentone 00053401,thiopentone 00053401,thiopentone 00053401,,,
thiopentone sodium,thiopentone sodium,thiopentone,,,
thpadriamycin,thpadriamycin,thpadriamycin,,,
thrombomodulin alfa recombinant,thrombomodulin alfa recombinant,thrombomodulin alfa recombinant,,,
thrombopoietin,thrombopoietin,thrombopoietin,,,
thymoclorubin,thymoclorubin,thymoclorubin,,,
thymosin,thymosin,thymosin,,,
thymosin alpha 1,thymosin alpha 1,thymosin alpha 1,,,
thyradin s,thyradin s,thyradin s,,,
tienam for intravenous drip infusion 05g,tienam for intravenous drip infusion 05g,tienam for intravenous drip infusion 05g,,,
timoglobulina,timoglobulina,timoglobulina,,,
timoptolla,timoptolla,timoptolla,,,
tiothepa,tiothepa,tiothepa,,,
tirosintsol,tirosintsol,tirosintsol,,,
tissucol,tissucol,tissucol,,,
tissucol immuno,tissucol immuno,tissucol immuno,,,
tissue plasminogen activator,tissue plasminogen activator,tissue plasminogen activator,,,
tmc207,tmc207,tmc207,,,
tmpsmx,tmpsmx,tmpsmx,,,
tmz tetramisole,tmz tetramisole,tmz tetramisole,,,
toco tocopheryl acetate,toco tocopheryl acetate,toco tocopheryl,,,
tofogliflozin,tofogliflozin,tofogliflozin,,,
toledomin,toledomin,toledomin,,,
tolep,tolep,tolep,,,
tolterodina 2796a,tolterodina 2796a,tolterodina 2796a,,,
topalgic,topalgic,topalgic,,,
topamac,topamac,topamac,,,
topimax,topimax,topimax,,,
topimax 01201701,topimax 01201701,topimax 01201701,,,
topiramato 25 mg comprimidos,topiramato 25 mg comprimidos,topiramato 25 mg comprimidos,,,
topiroxostat,topiroxostat,topiroxostat,,,
toplexil guaifenesinoxomemazine,toplexil guaifenesinoxomemazine,toplexil guaifenesinoxomemazine,,,
toplexil oxomemazine,toplexil oxomemazine,toplexil oxomemazine,,,
topotecin,topotecin,topotecin,,,
toreal,toreal,toreal,,,
tosufloxacin,tosufloxacin,tosufloxacin,,,
tosufloxacin tosylate,tosufloxacin tosylate,tosufloxacin tosylate,,,
total parenteral nutrition,total parenteral nutrition,total parenteral nutrition,,,
trace elements ped,trace elements ped,trace elements ped,,,
tradiance,tradiance,tradiance,,,
traditional chinese medication,traditional chinese medication,traditional chinese medication,,,
traditional chinese medicine,traditional chinese medicine,traditional chinese medicine,,,
tramal od,tramal od,tramal od,,,
tramal tropfen,tramal tropfen,tramal tropfen,,,
tramcet,tramcet,tramcet,,,
transamin,transamin,transamin,,,
translarna,translarna,translarna,,,
travelmin 00517301,travelmin 00517301,travelmin 00517301,,,
trazenta,trazenta,trazenta,,,
treakisym,treakisym,treakisym,,,
trenantone,trenantone,trenantone,,,
trereif,trereif,trereif,,,
trerief,trerief,trerief,,,
trevicta,trevicta,trevicta,,,
tri vitamin with fl 025mg compounded,tri vitamin with fl 025mg compounded,tri vitamin with fl 025mg compounded,,,
tri476,tri476,tri476,,,
triaminic childrens night time cold and cough,triaminic childrens night time cold and cough,triaminic childrens night time cold and cough,,,
triethylene thiophosphoramide,triethylene thiophosphoramide,triethylene thiophosphoramide,,,
triheptanoin ux007,triheptanoin ux007,triheptanoin ux007,,,
triheptanoin oral liquid,triheptanoin oral liquid,triheptanoin oral liquid,,,
trihexfenidyl nonspecific,trihexfenidyl nonspecific,trihexfenidyl nonspecific,,,
trihexyphenidyl hydrochloride tablets 5mg,trihexyphenidyl hydrochloride 5mg,trihexyphenidyl 5mg,,,
trileptal oxcarbazepine 600mg tab,trileptal oxcarbazepine 600mg,trileptal oxcarbazepine 600mg,,,
trileptal oxcarbazepine,trileptal oxcarbazepine,trileptal oxcarbazepine,,,
trileptal 300mg,trileptal 300mg,trileptal 300mg,,,
trileptal 300mg5ml,trileptal 300mg5ml,trileptal 300mg5ml,,,
trileptal dosing syringe device,trileptal dosing syringe device,trileptal dosing syringe device,,,
trimethoprimsulfamethoxazole,trimethoprimsulfamethoxazole,trimethoprimsulfamethoxazole,,,
trimethoprimsulfamethoxazol tablet 80400 mg,trimethoprimsulfamethoxazol 80400 mg,trimethoprimsulfamethoxazol 80400 mg,,,
trimethoprimsulfamethoxazole,trimethoprimsulfamethoxazole,trimethoprimsulfamethoxazole,,,
triptorelin pamoate bp,triptorelin pamoate bp,triptorelin pamoate bp,,,
triptorelin pamoate bp,triptorelin pamoate bp,triptorelin pamoate bp,,,
tronoxal,tronoxal,tronoxal,,,
trustan,trustan,trustan,,,
ts1,ts1,ts1,,,
ts 1,ts 1,ts 1,,,
tsumura daikenchuto,tsumura daikenchuto,tsumura daikenchuto,,,
tt thiotepa,tt thiotepa,tt thiotepa,,,
tt thiotepa,tt thiotepa,tt thiotepa,,,
tubertest,tubertest,tubertest,,,
tucidinostat,tucidinostat,tucidinostat,,,
tummy care max,tummy care max,tummy care max,,,
tussidane,tussidane,tussidane,,,
tyvaso 6 microgram aerosol for inhalation treprostinil sodium,tyvaso 6 microgram aerosol for inhalation treprostinil sodium,tyvaso 6 microgram aerosol for inhalation treprostinil,,,
takecab,takecab,takecab,,,
takepron,takepron,takepron,,,
takepron intravenous 30mg,takepron intravenous 30mg,takepron intravenous 30mg,,,
tavor expidet,tavor expidet,tavor expidet,,,
tazocel,tazocel,tazocel,,,
tazocillin,tazocillin,tazocillin,,,
telavic,telavic,telavic,,,
ternelin,ternelin,ternelin,,,
thacapzol,thacapzol,thacapzol,,,
therarubicin,therarubicin,therarubicin,,,
tienam,tienam,tienam,,,
tiopental,tiopental,tiopental,,,
tiotepa,tiotepa,tiotepa,,,
topina,topina,topina,,,
topsaver,topsaver,topsaver,,,
trihexphenydyl,trihexphenydyl,trihexphenydyl,,,
trihexyphenidyl hydrochloride watson laboratories,trihexyphenidyl hydrochloride watson laboratories,trihexyphenidyl watson laboratories,,,
trimethoprim sulfamethoxazole,trimethoprim sulfamethoxazole,trimethoprim sulfamethoxazole,,,
trimethoprim sulfamethoxazole,trimethoprim sulfamethoxazole,trimethoprim sulfamethoxazole,,,
trimethoprimsulfamethoxazole,trimethoprimsulfamethoxazole,trimethoprimsulfamethoxazole,,,
trimethoprimsulfamethoxazole,trimethoprimsulfamethoxazole,trimethoprimsulfamethoxazole,,,
udca,udca,udca,,,
ulinastatin,ulinastatin,ulinastatin,,,
ultratechnekow,ultratechnekow,ultratechnekow,,,
ultratechnekow v4,ultratechnekow v4,ultratechnekow v4,,,
ultratag rbc,ultratag rbc,ultratag rbc,,,
umatrope,umatrope,umatrope,,,
umatrope 6mg,umatrope 6mg,umatrope 6mg,,,
umifenovir hydrochloride,umifenovir hydrochloride,umifenovir,,,
umifenovir,umifenovir,umifenovir,,,
umuline,umuline,umuline,,,
unalfa,unalfa,unalfa,,,
unalfa 010 microgrammes solution buvable en gouttes,unalfa 010 microgrammes buvable en gouttes,unalfa 010 microgrammes buvable en gouttes,,,
un alfa,un alfa,un alfa,,,
unacid,unacid,unacid,,,
unfractionated heparin,unfractionated heparin,unfractionated heparin,,,
unifol propofol,unifol propofol,unifol propofol,,,
unifol 00700101,unifol 00700101,unifol 00700101,,,
unk,unk,unk,,,
unknown drug,unknown drug,unknown drug,,,
unspecified,unspecified,unspecified,,,
unspecified granulocytecolonystimulating factors,unspecified granulocytecolonystimulating factors,unspecified granulocytecolonystimulating factors,,,
unspecified ingredients,unspecified ingredients,unspecified ingredients,,,
unspecified thyroid dose,unspecified thyroid dose,unspecified thyroid dose,,,
up up kids sunscreen lotion target,up up kids sunscreen lotion target,up up kids sunscreen lotion target,,,
up and up powderlax,up and up powderlax,up and up powderlax,,,
urbason,urbason,urbason,,,
urinorm,urinorm,urinorm,,,
urotablinen,urotablinen,urotablinen,,,
uromitexan mesna injection 100mgml,uromitexan mesna 100mgml,uromitexan mesna 100mgml,,,
uromitexan 1 g10 ml,uromitexan 1 g10 ml,uromitexan 1 g10 ml,,,
uromitexan 1 g10 ml solution injectable pour perfusion en flacon,uromitexan 1 g10 ml injectable pour perfusion en flacon,uromitexan 1 g10 ml injectable pour perfusion en flacon,,,
uromitexan 200mg inyectable,uromitexan 200mg inyectable,uromitexan 200mg inyectable,,,
uromitexan 400 mg,uromitexan 400 mg,uromitexan 400 mg,,,
uromitexan 400 mg solution injectable iv,uromitexan 400 mg injectable iv,uromitexan 400 mg injectable iv,,,
uromitexan 400 ml losung zur intravenosen anwendung,uromitexan 400 ml losung zur intravenosen anwendung,uromitexan 400 ml losung zur intravenosen anwendung,,,
uromitexan tabletten 600 mg,uromitexan tabletten 600 mg,uromitexan tabletten 600 mg,,,
uromitexan vial 400mg,uromitexan vial 400mg,uromitexan vial 400mg,,,
ursodeoxycholic acid ursodeoxycholic acid unknown,ursodeoxycholic acid ursodeoxycholic acid unknown,ursodeoxycholic acid ursodeoxycholic acid unknown,,,
unacid pd,unacid pd,unacid pd,,,
urbanil,urbanil,urbanil,,,
urbason,urbason,urbason,,,
urief,urief,urief,,,
urotablinen,urotablinen,urotablinen,,,
uromitexan,uromitexan,uromitexan,,,
uromitexan 1 g10 ml solution injectable pour perfusion en flacon,uromitexan 1 g10 ml injectable pour perfusion en flacon,uromitexan 1 g10 ml injectable pour perfusion en flacon,,,
uromitexan 400 mg 4ml,uromitexan 400 mg 4ml,uromitexan 400 mg 4ml,,,
uromitexan 400mg4ml solution for injection,uromitexan 400mg4ml for,uromitexan 400mg4ml for,,,
valpakine,valpakine,valpakine,,,
valparin,valparin,valparin,,,
valparin chrono,valparin chrono,valparin chrono,,,
valproinsaeure retard,valproinsaeure retard,valproinsaeure retard,,,
valproinsaeure ratiopharm,valproinsaeure ratiopharm,valproinsaeure ratiopharm,,,
valproinsaure chrono,valproinsaure chrono,valproinsaure chrono,,,
valsacor,valsacor,valsacor,,,
vancomicina 3197a,vancomicina 3197a,vancomicina 3197a,,,
vancomicina mylan,vancomicina mylan,vancomicina mylan,,,
vannair,vannair,vannair,,,
vanucizumab,vanucizumab,vanucizumab,,,
vargatef,vargatef,vargatef,,,
varicella vaccine live,varicella vaccine live,varicella vaccine live,,,
varicella vaccine live,varicella vaccine live,varicella vaccine live,,,
varicella zoster vaccine,varicella zoster vaccine,varicella zoster vaccine,,,
varicellazoster vaccine,varicellazoster vaccine,varicellazoster vaccine,,,
vasopressin injection manufacturer unknown,vasopressin manufacturer unknown,vasopressin manufacturer unknown,,,
vaxigrip,vaxigrip,vaxigrip,,,
vayacog nonspecific,vayacog nonspecific,vayacog nonspecific,,,
veclam,veclam,veclam,,,
veen d,veen d,veen d,,,
vegamox ophthalmic solution 05,vegamox ophthalmic 05,vegamox ophthalmic 05,,,
velban,velban,velban,,,
veliparib,veliparib,veliparib,,,
veltuzumab,veltuzumab,veltuzumab,,,
venlafaxin hexal,venlafaxin hexal,venlafaxin hexal,,,
venlafex xl,venlafex xl,venlafex xl,,,
ventilan,ventilan,ventilan,,,
verbena herb,verbena herb,verbena herb,,,
verrublen,verrublen,verrublen,,,
versatis,versatis,versatis,,,
verxant,verxant,verxant,,,
vesikur,vesikur,vesikur,,,
viani mite,viani mite,viani mite,,,
viccillin,viccillin,viccillin,,,
vicks nyquil,vicks nyquil,vicks nyquil,,,
victan,victan,victan,,,
vigil,vigil,vigil,,,
vincristin teva,vincristin teva,vincristin teva,,,
vincristina 809a,vincristina 809a,vincristina 809a,,,
vincristina teva teva pharma bv,vincristina teva teva pharma bv,vincristina teva teva pharma bv,,,
vincristina teva 1 mgml efg injection solution,vincristina teva 1 mgml efg,vincristina teva 1 mgml efg,,,
vincristina teva 1 mgml solucion inyectable efg 1 vial de 1 ml,vincristina teva 1 mgml solucion inyectable efg 1 vial de 1 ml,vincristina teva 1 mgml solucion inyectable efg 1 vial de 1 ml,,,
vincristina teva italia teva italia srl,vincristina teva italia teva italia srl,vincristina teva italia teva italia srl,,,
vincristina teva italia 1 mgml soluzione iniettabile,vincristina teva italia 1 mgml soluzione iniettabile,vincristina teva italia 1 mgml soluzione iniettabile,,,
vincristini sulfas,vincristini sulfas,vincristini sulfas,,,
vindesina sulfato 810su,vindesina sulfato 810su,vindesina sulfato 810su,,,
vinegar,vinegar,vinegar,,,
viruhexal,viruhexal,viruhexal,,,
virus rubella unspecified,virus rubella unspecified,virus rubella unspecified,,,
vit d,vit d,vit d,,,
vitalipid,vitalipid,vitalipid,,,
vitalipid infant,vitalipid infant,vitalipid infant,,,
vitalipid n infant,vitalipid n infant,vitalipid n infant,,,
vitalipide enfants,vitalipide enfants,vitalipide enfants,,,
vitamin b complex nos,vitamin b complex nos,vitamin b complex nos,,,
vitamin b2,vitamin b2,vitamin b2,,,
vitamin crutoside,vitamin crutoside,vitamin crutoside,,,
vitlipid n infant ergocalciferolphytonadioneretinoltocopherol,vitlipid n infant ergocalciferolphytonadioneretinoltocopherol,vitlipid n infant ergocalciferolphytonadioneretinoltocopherol,,,
vm 26,vm 26,vm 26,,,
voglibose,voglibose,voglibose,,,
volibris,volibris,volibris,,,
voraze,voraze,voraze,,,
votalin,votalin,votalin,,,
vp 16 investigational drug,vp 16 investigational drug,vp 16 investigational drug,,,
vumon,vumon,vumon,,,
vumon conc inj,vumon conc,vumon conc,,,
vx659,vx659,vx659,,,
vx661vx770,vx661vx770,vx661vx770,,,
vx809vx770 combination,vx809vx770 combination,vx809vx770 combination,,,
vx 445vx 661vx 770,vx 445vx 661vx 770,vx 445vx 661vx 770,,,
vx 770,vx 770,vx 770,,,
vyvance,vyvance,vyvance,,,
vzv vaccine,vzv vaccine,vzv vaccine,,,
valixa,valixa,valixa,,,
valparin,valparin,valparin,,,
vancomicina mylan 1 g polvere per soluzione per infusione,vancomicina mylan 1 g polvere per soluzione per infusione,vancomicina mylan 1 g polvere per soluzione per infusione,,,
vayarin,vayarin,vayarin,,,
vayarin plus,vayarin plus,vayarin plus,,,
velbe,velbe,velbe,,,
ventilastin novolizer,ventilastin novolizer,ventilastin novolizer,,,
venvanse,venvanse,venvanse,,,
viani mite,viani mite,viani mite,,,
vigantoletten,vigantoletten,vigantoletten,,,
vincristina pfizer,vincristina pfizer,vincristina pfizer,,,
vincristina pfizer italia,vincristina pfizer italia,vincristina pfizer italia,,,
vincristina teva,vincristina teva,vincristina teva,,,
vintene,vintene,vintene,,,
vitalipid,vitalipid,vitalipid,,,
vitalipid infant,vitalipid infant,vitalipid infant,,,
vitalipidine enfants,vitalipidine enfants,vitalipidine enfants,,,
vomex a suppositorien,vomex a suppositorien,vomex a suppositorien,,,
vp 16,vp 16,vp 16,,,
walgreens ibuprofen 100 mg org1012f item 221219 3de1303a,walgreens ibuprofen 100 mg org1012f item 221219 3de1303a,walgreens ibuprofen 100 mg org1012f item 221219 3de1303a,,,
widecillinamoxicillin trihydrate,widecillinamoxicillin trihydrate,widecillinamoxicillin trihydrate,,,
wilate von willebrand factorcoagulation factor viii complex human,wilate von willebrand factorcoagulation factor viii complex human,wilate von willebrand factorcoagulation factor viii complex human,,,
wintomylon,wintomylon,wintomylon,,,
wockhardt uk amoxicillin,wockhardt uk amoxicillin,wockhardt uk amoxicillin,,,
wockhardt uk piperacillin and tazobactam,wockhardt uk piperacillin and tazobactam,wockhardt uk piperacillin and tazobactam,,,
womens rogaine,womens rogaine,womens rogaine,,,
womens rogaine unscented,womens rogaine unscented,womens rogaine unscented,,,
