L1,L2,L3,L4,atc_code,CUI
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D  OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03DB  Xanthines and adrenergics,R03DB02,C0055578
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D  OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03DA  Xanthines,R03DA02,C0055578
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AD  Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",A10AD06,C0123677
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AD  Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",A10AD06,C1170011
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AD  Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",A10AD05,C0123677
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AD  Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",A10AD05,C1170011
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AB  Insulins and analogues for injection, fast-acting",A10AB05,C0123677
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AB  Insulins and analogues for injection, fast-acting",A10AB05,C1170011
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AE  Insulins and analogues for injection, long-acting",A10AE05,C0537270
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AB  Insulins and analogues for injection, fast-acting",A10AB06,C1313386
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AE  Protease inhibitors,J05AE07,C1176315
N  NERVOUS SYSTEM,N03  ANTIEPILEPTICS,N03A  ANTIEPILEPTICS,N03AB  Hydantoin derivatives,N03AB05,C0244656
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,"J01F  MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",J01FA  Macrolides,J01FA07,C0022419
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,N06A  ANTIDEPRESSANTS,N06AX  Other antidepressants,N06AX25,C0813171
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,N06A  ANTIDEPRESSANTS,N06AX  Other antidepressants,N06AX25,C3475323
C  CARDIOVASCULAR SYSTEM,C03  DIURETICS,"C03A  LOW-CEILING DIURETICS, THIAZIDES","C03AA  Thiazides, plain",C03AA05,C0032613
G  GENITO URINARY SYSTEM AND SEX HORMONES,G01  GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A  ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AE  Sulfonamides,G01AE10,C0032613
C  CARDIOVASCULAR SYSTEM,C03  DIURETICS,"C03A  LOW-CEILING DIURETICS, THIAZIDES",C03AB  Thiazides and potassium in combination,C03AB05,C0032613
G  GENITO URINARY SYSTEM AND SEX HORMONES,G01  GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A  ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AE  Sulfonamides,G01AE10,C0164608
C  CARDIOVASCULAR SYSTEM,C03  DIURETICS,"C03B  LOW-CEILING DIURETICS, EXCL. THIAZIDES","C03BA  Sulfonamides, plain",C03BA02,C0164608
C  CARDIOVASCULAR SYSTEM,C03  DIURETICS,"C03B  LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BB  Sulfonamides and potassium in combination,C03BB02,C0164608
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DC  Second-generation cephalosporins,J01DC03,C0007541
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DB  First-generation cephalosporins,J01DB04,C0007546
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DC  Second-generation cephalosporins,J01DC06,C0007551
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DD  Third-generation cephalosporins,J01DD12,C0007552
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DC  Second-generation cephalosporins,J01DC05,C0007555
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DC  Second-generation cephalosporins,J01DC01,C0007557
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DD  Third-generation cephalosporins,J01DD07,C0007560
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DB  First-generation cephalosporins,J01DB09,C0007738
M  MUSCULO-SKELETAL SYSTEM,M03  MUSCLE RELAXANTS,"M03A  MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",M03AC  Other quaternary ammonium compounds,M03AC01,C0030310
M  MUSCULO-SKELETAL SYSTEM,M03  MUSCLE RELAXANTS,"M03A  MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",M03AC  Other quaternary ammonium compounds,M03AC06,C0071102
M  MUSCULO-SKELETAL SYSTEM,M03  MUSCLE RELAXANTS,"M03A  MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",M03AC  Other quaternary ammonium compounds,M03AC03,C0242531
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09B  ACE INHIBITORS, COMBINATIONS",C09BA  ACE inhibitors and diuretics,C09BA08,C0055723
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09A  ACE INHIBITORS, PLAIN","C09AA  ACE inhibitors, plain",C09AA08,C0055723
V  VARIOUS,V03  ALL OTHER THERAPEUTIC PRODUCTS,V03A  ALL OTHER THERAPEUTIC PRODUCTS,V03AE  Drugs for treatment of hyperkalemia and hyperphosphatemia,V03AE01,C0137904
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09A  ACE INHIBITORS, PLAIN","C09AA  ACE inhibitors, plain",C09AA11,C0075007
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05C  HYPNOTICS AND SEDATIVES,"N05CA  Barbiturates, plain",N05CA02,C0002640
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05C  HYPNOTICS AND SEDATIVES,"N05CB  Barbiturates, combinations",N05CB01,C0002640
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05C  HYPNOTICS AND SEDATIVES,"N05CA  Barbiturates, plain",N05CA05,C0051241
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05C  HYPNOTICS AND SEDATIVES,"N05CA  Barbiturates, plain",N05CA03,C0054249
C  CARDIOVASCULAR SYSTEM,C07  BETA BLOCKING AGENTS,C07C  BETA BLOCKING AGENTS AND OTHER DIURETICS,"C07CA  Beta blocking agents, non-selective, and other diuretics",C07CA23,C0030812
C  CARDIOVASCULAR SYSTEM,C07  BETA BLOCKING AGENTS,C07A  BETA BLOCKING AGENTS,"C07AA  Beta blocking agents, non-selective",C07AA23,C0030812
V  VARIOUS,V08  CONTRAST MEDIA,"V08A  X-RAY CONTRAST MEDIA, IODINATED","V08AB  Watersoluble, nephrotropic, low osmolar X-ray contrast media",V08AB02,C0022005
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01F  MYDRIATICS AND CYCLOPLEGICS,S01FB  Sympathomimetics excl. antiglaucoma preparations,S01FB02,C0014479
R  RESPIRATORY SYSTEM,R01  NASAL PREPARATIONS,R01A  DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"R01AB  Sympathomimetics, combinations excl. corticosteroids",R01AB05,C0014479
C  CARDIOVASCULAR SYSTEM,C01  CARDIAC THERAPY,C01C  CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA  Adrenergic and dopaminergic agents,C01CA26,C0014479
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03C  ADRENERGICS FOR SYSTEMIC USE,R03CA  Alpha- and beta-adrenoreceptor agonists,R03CA02,C0014479
A  ALIMENTARY TRACT AND METABOLISM,"A08  ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","A08A  ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08AA  Centrally acting antiobesity products,A08AA56,C0014479
R  RESPIRATORY SYSTEM,R01  NASAL PREPARATIONS,R01A  DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"R01AA  Sympathomimetics, plain",R01AA03,C0014479
C  CARDIOVASCULAR SYSTEM,C01  CARDIAC THERAPY,C01C  CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA  Adrenergic and dopaminergic agents,C01CA11,C0025380
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03C  ADRENERGICS FOR SYSTEMIC USE,R03CC  Selective beta-2-adrenoreceptor agonists,R03CC08,C0072032
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"R03A  ADRENERGICS, INHALANTS",R03AC  Selective beta-2-adrenoreceptor agonists,R03AC16,C0072032
N  NERVOUS SYSTEM,N04  ANTI-PARKINSON DRUGS,N04B  DOPAMINERGIC AGENTS,N04BD  Monoamine oxidase B inhibitors,N04BD02,C0525678
M  MUSCULO-SKELETAL SYSTEM,M05  DRUGS FOR TREATMENT OF BONE DISEASES,M05B  DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,"M05BB  Bisphosphonates, combinations",M05BB01,C0006675
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,"A11A  MULTIVITAMINS, COMBINATIONS",A11AA  Multivitamins with minerals,A11AA02,C0006675
M  MUSCULO-SKELETAL SYSTEM,M05  DRUGS FOR TREATMENT OF BONE DISEASES,M05B  DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,"M05BB  Bisphosphonates, combinations",M05BB08,C0006675
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,"A11G  ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS","A11GB  Ascorbic acid (vitamin C), combinations",A11GB01,C0006675
M  MUSCULO-SKELETAL SYSTEM,M05  DRUGS FOR TREATMENT OF BONE DISEASES,M05B  DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,"M05BB  Bisphosphonates, combinations",M05BB02,C0006675
M  MUSCULO-SKELETAL SYSTEM,M05  DRUGS FOR TREATMENT OF BONE DISEASES,M05B  DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,"M05BB  Bisphosphonates, combinations",M05BB04,C0006675
M  MUSCULO-SKELETAL SYSTEM,M05  DRUGS FOR TREATMENT OF BONE DISEASES,M05B  DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,"M05BB  Bisphosphonates, combinations",M05BB05,C0006675
A  ALIMENTARY TRACT AND METABOLISM,A02  DRUGS FOR ACID RELATED DISORDERS,A02A  ANTACIDS,A02AA  Magnesium compounds,A02AA02,C0024477
A  ALIMENTARY TRACT AND METABOLISM,A12  MINERAL SUPPLEMENTS,A12C  OTHER MINERAL SUPPLEMENTS,A12CC  Magnesium,A12CC10,C0024477
A  ALIMENTARY TRACT AND METABOLISM,A06  DRUGS FOR CONSTIPATION,A06A  DRUGS FOR CONSTIPATION,A06AD  Osmotically acting laxatives,A06AD02,C0024477
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,N06D  ANTI-DEMENTIA DRUGS,N06DX  Other anti-dementia drugs,N06DX02,C0772125
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,N06D  ANTI-DEMENTIA DRUGS,N06DX  Other anti-dementia drugs,N06DX02,C0872895
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,N06D  ANTI-DEMENTIA DRUGS,N06DA  Anticholinesterases,N06DA53,C0772125
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,N06D  ANTI-DEMENTIA DRUGS,N06DA  Anticholinesterases,N06DA53,C0872895
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,"A10B  BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BC  Sulfonamides (heterocyclic),A10BC01,C0351000
G  GENITO URINARY SYSTEM AND SEX HORMONES,G01  GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A  ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AE  Sulfonamides,G01AE10,C0351000
C  CARDIOVASCULAR SYSTEM,C08  CALCIUM CHANNEL BLOCKERS,C08C  SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CX  Other selective calcium channel blockers with mainly vascular effects,C08CX01,C0286185
B  BLOOD AND BLOOD FORMING ORGANS,B05  BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05C  IRRIGATING SOLUTIONS,B05CB  Salt solutions,B05CB04,C0074722
B  BLOOD AND BLOOD FORMING ORGANS,B05  BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05X  I.V. SOLUTION ADDITIVES,B05XA  Electrolyte solutions,B05XA02,C0074722
G  GENITO URINARY SYSTEM AND SEX HORMONES,G04  UROLOGICALS,G04B  UROLOGICALS,G04BE  Drugs used in erectile dysfunction,G04BE04,C0724441
C  CARDIOVASCULAR SYSTEM,C10  LIPID MODIFYING AGENTS,"C10A  LIPID MODIFYING AGENTS, PLAIN",C10AB  Fibrates,C10AB02,C0005330
M  MUSCULO-SKELETAL SYSTEM,M04  ANTIGOUT PREPARATIONS,M04A  ANTIGOUT PREPARATIONS,M04AC  Preparations with no effect on uric acid metabolism,M04AC01,C0009262
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03A  HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,"G03AA  Progestogens and estrogens, fixed combinations",G03AA18,C0043822
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03A  HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03AC  Progestogens,G03AC10,C0043822
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03F  PROGESTOGENS AND ESTROGENS IN COMBINATION,"G03FA  Progestogens and estrogens, fixed combinations",G03FA17,C0043822
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03A  HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,"G03AA  Progestogens and estrogens, fixed combinations",G03AA12,C0043822
C  CARDIOVASCULAR SYSTEM,C01  CARDIAC THERAPY,C01A  CARDIAC GLYCOSIDES,C01AA  Digitalis glycosides,C01AA04,C0012258
N  NERVOUS SYSTEM,N02  ANALGESICS,N02B  OTHER ANALGESICS AND ANTIPYRETICS,N02BA  Salicylic acid and derivatives,N02BA06,C0073983
N  NERVOUS SYSTEM,N07  OTHER NERVOUS SYSTEM DRUGS,N07A  PARASYMPATHOMIMETICS,N07AA  Anticholinesterases,N07AA01,C0027679
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01E  ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EB  Parasympathomimetics,S01EB06,C0027679
N  NERVOUS SYSTEM,N07  OTHER NERVOUS SYSTEM DRUGS,N07A  PARASYMPATHOMIMETICS,N07AA  Anticholinesterases,N07AA51,C0027679
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05A  ANTIPSYCHOTICS,N05AA  Phenothiazines with aliphatic side-chain,N05AA02,C0025678
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01M  QUINOLONE ANTIBACTERIALS,J01MA  Fluoroquinolones,J01MA05,C0076075
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03X  OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03XA  Antigonadotropins and similar agents,G03XA01,C0010961
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03C  ADRENERGICS FOR SYSTEMIC USE,R03CC  Selective beta-2-adrenoreceptor agonists,R03CC13,C0008932
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"R03A  ADRENERGICS, INHALANTS",R03AC  Selective beta-2-adrenoreceptor agonists,R03AC14,C0008932
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03C  ADRENERGICS FOR SYSTEMIC USE,R03CC  Selective beta-2-adrenoreceptor agonists,R03CC63,C0008932
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03C  ADRENERGICS FOR SYSTEMIC USE,R03CC  Selective beta-2-adrenoreceptor agonists,R03CC12,C0052944
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"R03A  ADRENERGICS, INHALANTS",R03AL  Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids,R03AL06,C0213771
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"R03B  OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",R03BB  Anticholinergics,R03BB04,C0213771
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"R03B  OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",R03BB  Anticholinergics,R03BB54,C0213771
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"R03A  ADRENERGICS, INHALANTS",R03AL  Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids,R03AL10,C0213771
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"R03B  OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",R03BA  Glucocorticoids,R03BA08,C0907850
R  RESPIRATORY SYSTEM,R01  NASAL PREPARATIONS,R01A  DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD  Corticosteroids,R01AD13,C0907850
C  CARDIOVASCULAR SYSTEM,C03  DIURETICS,"C03B  LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BD  Xanthine derivatives,C03BD01,C0039763
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D  OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03DA  Xanthines,R03DA07,C0039763
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D  OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03DA  Xanthines,R03DA57,C0039763
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DE  Fourth-generation cephalosporins,J01DE01,C0055003
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01R  COMBINATIONS OF ANTIBACTERIALS,J01RA  Combinations of antibacterials,J01RA06,C0055003
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DD  Third-generation cephalosporins,J01DD14,C0055014
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DD  Third-generation cephalosporins,J01DD13,C0055011
B  BLOOD AND BLOOD FORMING ORGANS,B01  ANTITHROMBOTIC AGENTS,B01A  ANTITHROMBOTIC AGENTS,B01AA  Vitamin K antagonists,B01AA07,C0000956
A  ALIMENTARY TRACT AND METABOLISM,"A07  ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07A  INTESTINAL ANTIINFECTIVES,A07AA  Antibiotics,A07AA06,C0030576
N  NERVOUS SYSTEM,N02  ANALGESICS,N02B  OTHER ANALGESICS AND ANTIPYRETICS,N02BB  Pyrazolones,N02BB53,C0002586
N  NERVOUS SYSTEM,N02  ANALGESICS,N02B  OTHER ANALGESICS AND ANTIPYRETICS,N02BB  Pyrazolones,N02BB03,C0002586
N  NERVOUS SYSTEM,N02  ANALGESICS,N02B  OTHER ANALGESICS AND ANTIPYRETICS,N02BB  Pyrazolones,N02BB73,C0002586
A  ALIMENTARY TRACT AND METABOLISM,A03  DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03F  PROPULSIVES,A03FA  Propulsives,A03FA05,C0051162
C  CARDIOVASCULAR SYSTEM,C01  CARDIAC THERAPY,"C01B  ANTIARRHYTHMICS, CLASS I AND III","C01BA  Antiarrhythmics, class Ia",C01BA05,C0001888
C  CARDIOVASCULAR SYSTEM,C01  CARDIAC THERAPY,C01C  CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CE  Phosphodiesterase inhibitors,C01CE01,C0002697
R  RESPIRATORY SYSTEM,R07  OTHER RESPIRATORY SYSTEM PRODUCTS,R07A  OTHER RESPIRATORY SYSTEM PRODUCTS,R07AB  Respiratory stimulants,R07AB07,C0002164
C  CARDIOVASCULAR SYSTEM,C10  LIPID MODIFYING AGENTS,"C10A  LIPID MODIFYING AGENTS, PLAIN",C10AC  Bile acid sequestrants,C10AC01,C0008402
N  NERVOUS SYSTEM,N02  ANALGESICS,N02B  OTHER ANALGESICS AND ANTIPYRETICS,N02BB  Pyrazolones,N02BB51,C0003420
N  NERVOUS SYSTEM,N02  ANALGESICS,N02B  OTHER ANALGESICS AND ANTIPYRETICS,N02BB  Pyrazolones,N02BB71,C0003420
N  NERVOUS SYSTEM,N02  ANALGESICS,N02B  OTHER ANALGESICS AND ANTIPYRETICS,N02BB  Pyrazolones,N02BB01,C0003420
S  SENSORY ORGANS,S02  OTOLOGICALS,S02D  OTHER OTOLOGICALS,S02DA  Analgesics and anesthetics,S02DA03,C0003420
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,"A11C  VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",A11CC  Vitamin D and analogues,A11CC03,C0044410
M  MUSCULO-SKELETAL SYSTEM,M05  DRUGS FOR TREATMENT OF BONE DISEASES,M05B  DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,"M05BB  Bisphosphonates, combinations",M05BB06,C0044410
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05C  HYPNOTICS AND SEDATIVES,N05CE  Piperidinedione derivatives,N05CE01,C0017845
G  GENITO URINARY SYSTEM AND SEX HORMONES,G04  UROLOGICALS,G04B  UROLOGICALS,G04BX  Other urologicals,G04BX06,C0031379
N  NERVOUS SYSTEM,N07  OTHER NERVOUS SYSTEM DRUGS,N07B  DRUGS USED IN ADDICTIVE DISORDERS,N07BC  Drugs used in opioid dependence,N07BC06,C0011892
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01X  OTHER OPHTHALMOLOGICALS,S01XA  Other ophthalmologicals,S01XA06,C0015109
R  RESPIRATORY SYSTEM,R05  COUGH AND COLD PREPARATIONS,"R05D  COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",R05DA  Opium alkaloids and derivatives,R05DA01,C0015109
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05C  HYPNOTICS AND SEDATIVES,"N05CA  Barbiturates, plain",N05CA04,C0004743
A  ALIMENTARY TRACT AND METABOLISM,"A08  ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","A08A  ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08AA  Centrally acting antiobesity products,A08AA07,C0069021
A  ALIMENTARY TRACT AND METABOLISM,A14  ANABOLIC AGENTS FOR SYSTEMIC USE,A14A  ANABOLIC STEROIDS,A14AB  Estren derivatives,A14AB02,C0015099
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05C  HYPNOTICS AND SEDATIVES,N05CC  Aldehydes and derivatives,N05CC04,C0057831
A  ALIMENTARY TRACT AND METABOLISM,"A07  ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07D  ANTIPROPULSIVES,A07DA  Antipropulsives,A07DA04,C0057981
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AC  Diphenylpropylamine derivatives,N02AC01,C0011817
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05C  HYPNOTICS AND SEDATIVES,N05CD  Benzodiazepine derivatives,N05CD03,C0016296
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05B  ANXIOLYTICS,N05BA  Benzodiazepine derivatives,N05BA18,C0059772
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AA  Natural opium alkaloids,N02AA58,C0058056
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AA  Natural opium alkaloids,N02AA08,C0058056
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AJ  Opioids in combination with non-opioid analgesics,N02AJ02,C0058056
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AJ  Opioids in combination with non-opioid analgesics,N02AJ01,C0058056
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05B  ANXIOLYTICS,N05BA  Benzodiazepine derivatives,N05BA08,C0006213
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05B  ANXIOLYTICS,N05BA  Benzodiazepine derivatives,N05BA21,C0009073
